Instructor,Interests
"Asudeh, Abolfazl","Responsible Data Science, Algorithmic Fairness, Data Management, Algorithms, Computational Geometry"
"Bell, John T",
"Bello Lander, Gonzalo Alejandro",
"Burton, Emanuelle Neuman",
"Buy, Ugo A","Software Engineering, Privacy in Social Networks"
"Caragea, Cornelia Alexandra","Natural Language Processing, Deep Learning, Information Retrieval, Artificial Intelligence"
"Chakraborti, Anrin","Computer Security, Cryptography"
"Chattopadhyay, Debaleena","Human-Computer Interaction, Older Adults, Gesture Input, Virtual Humans, Uncanny Valley"
"Cheng, Lu","Socially Responsible AI, Causal Machine Learning, Data Mining, AI for Good"
"Clayville, Kristel",
"Cranch, Cody Ingersoll",
"Cruz, Isabel","Big Data, Knowledge Representation, Geospatial Data, Information Visualization, Computer Security"
"DasGupta, Bhaskar","Theoretical Computer Science, Computational Biology, Social Networks, Computational Economics"
"Deitz, Sean M",
"Dey, Drishika",
"Di Eugenio, Barbara","Natural Language Processing, Human-Computer Interaction, Educational Technology, NLP for Healthcare"
"Diazh, Diana Mabel","Data Science, Health Informatics, Machine Learning, CS Education"
"Dutt, Shantanu S","VLSI CAD, Electronic Design Automation (EDA), Discrete Optimization, Trusted Computing, FPGA Testing"
"Eriksson, Jakob L","Computer Systems, Systems Performance, Localization, Tracking"
"Esmailbeigi, Hananeh","Wearable Tech, Assistive Devices, Human Augmentation"
"Fulton, Christopher",
"Ganchinho de Pina, Luis Gabriel","Multi-Version Execution, Dynamic Software Updating, Programming Languages"
"Glavic, Boris","Databases, Uncertainty, Data Science, Data Provenance, Data Integration"
"Gmytrasiewicz, Piotr",Artificial Intelligence
"Grechanik, Mark","Systems, Software Engineering, Security"
"Hallenbeck, Mark","Software Engineering, Systems, Mobile Security, Privacy, Computer Science Education"
"Hayes, David P","Web Science, Application Development, Ethics"
"Hodges, Mark Richard",
"Hummel, Joseph E","Relational Perception and Cognition, Analogy, Neural Network Models of Relational Processing"
"Ibrahim, Omar",
"Johnson, Andrew E","Visualization, User Interaction, Visual Analytics, Collaboration, Virtual Reality"
"Kanich, Chris","Internet Security, Socio-Technical Cybersecurity, Attacker Capabilities and Motivations, Internet Measurement"
"Kash, Ian Alexander",
"Katok, Zoa",
"Kenyon, Robert V",
