Instructor,Research Interests
"Abiade, Jeremiah T",
"Aggarwal, Suresh K","flame, droplet, spray, combustion"
"Alonso, Matthew Paul",Stored Solar Thermal Energy
"Anahideh, Hadis","Black-box Optimization, Active Learning, Applied Machine Learning, Algorithmic Fairness, XAI"
"Anand, Sushant","Condensation, Icing, Emulsions, Phase-change, Drops"
"Berniker, Max","machine learning, Bayesian inference, neural networks, motor control and learning, computational neuroscience"
"Bhounsule, Pranav Audhut","Walking and running robots, Humanoids, Optimal control, Mechanical Design"
"Brezinsky, Kenneth",Combustion chemistry
"Brown, Michael A","Computational Dynamics, Biomechanics, Product Design, Development, and Manufacturing"
"Cetin, Sabri","Mechatronics, Control Systems, Automation and Robotics, Instrumentation, CAD/CAM, Manufacturing, Robust Control, Intelligent Control, Neural Networks, Expert Systems, Fuzzy Logic, AI, Servo Motion Control Systems, Electro Hydraulic Control, Precision Motion Control, Nano Positioning Devices, Process Control, Programmable Logic Controllers (PLC), Microprocessor Applications"
"Darabi, Houshang","Process Mining, Machine Learning, Safety Engineering, Engineering Education, Healthcare Engineering"
"Demir, Mehmet",
"Finan, John Desmond","traumatic brain injury, biomechanics, biomedical engineering"
"Haefke, Clifford Paul",
"Haghighi, Azadeh","Smart Manufacturing Additive Manufacturing, Physics-informed Machine Learning, Robotic Manufacturing, Advanced Manufacturing"
"Hatami Marbini, Hamed","Multiscale Computational Mechanics, Biomechanics and Biomaterials, Micro and Nano Mechanics of Materials, Composite Materials, Mechanics of Random Media"
"He, David Weihua","Machine Health Monitoring, Fault Diagnostics and Prgonostics, Failure Analysis, Reliability and Quality Engineering, Manufacturing"
"Hu, Mengqi","Optimization, Multi-agent Decision Making, Reinforcement Learning, Swarm Intelligence, Building Energy Efficiency"
"Huang, Jida",Design and Advanced Manufacturing
"Jeong, Heejin",
"Jung, Eunjung",
"Kim, Myunghee","Rehabilitation robotics, Biomechatronics Control, Wearable robotics, Machine learning"
"Komperda, Jonathan","Computational Fluid Dynamics, High Speed Flows, Computational Combustion, Supercomputing"
"Li, Lin","Sustainable Manufacturing Systems, Energy Efficiency and Demand Response, Additive Manufacturing, Biofuel Manufacturing"
"Lilley, Carmen M","nanomaterials engineering, broadening participation, workforce development"
"Lynch, Patrick T","combustion, chemical kinetics, spectroscopy, sensing, fuels"
"Manafzadeh, Saeed","Experimental and Numerical Study of Pulsating Flow and Heat Transfer inside Helically Coiled Tubes under Different Conditions, Multiphase Flow and Heat Transfer, Computational Fluid Dynamics Applications, Flow and Diffusion in Porous Media"
"Mashayek, Farzad","Two-phase turbulent reactive flow, Direct numerical simulation, Probability density function (pdf) modeling, Statistical and stochastic modeling, Free-surface flow and interface modeling, Nanoparticle dynamics in dusty plasma"
"Megaridis, Constantine M","Fluid/Particle Transport, Interfacial Phenomena, Coatings, Liquid Repellency, Multiphase Heat and Mass Transfer"
