Instructor,Rating,Num Reviews
"Abiade, Jeremiah T",2.7,12
"Aggarwal, Suresh K",2.5,19
"Alonso, Matthew Paul",NULL,NULL
"Anahideh, Hadis",2.5,4
"Anand, Sushant",3.4,10
"Berniker, Max",2.7,10
"Bhounsule, Pranav Audhut",4,7
"Brezinsky, Kenneth",3.5,4
"Brown, Michael A",3.3,10
"Cetin, Sabri",3.8,17
"Darabi, Houshang",3.3,28
"Demir, Mehmet",3,2
"Finan, John Desmond",5,1
"Haefke, Clifford Paul",NULL,NULL
"Haghighi, Azadeh",4.8,6
"Hatami Marbini, Hamed",2.8,19
"He, David Weihua",2.9,11
"Hu, Mengqi",2.2,12
"Huang, Jida",NULL,NULL
"Jeong, Heejin",5,1
"Jung, Eunjung",4.9,10
"Kim, Myunghee",3.5,10
"Komperda, Jonathan",5,25
"Li, Lin",3,12
"Lilley, Carmen M",2.7,26
"Lynch, Patrick T",1.3,7
"Manafzadeh, Saeed",3.4,73
"Mashayek, Farzad",5,1
"Megaridis, Constantine M",3.2,13
"Minkowycz, W J",4,38
"Mirbod, Parisa",1,5
"Naghshineh, Majid",1.4,4
"Nicolsen, Brynne E",4.3,10
"Pan, Yayue",4.2,5
"Paoli, Roberto",1.5,4
"Pruitt, Mark John",NULL,NULL
"Reckinger, Scott J",2.4,51
"Roy, Tamal",NULL, NULL
"Ryan, William A",4,1
"Saggere, Laxman",3.3,18
"Salehi-Khojin, Amin",3.8,18
"Sankaranarayanan, Subramanian",5,3
"Scott, Michael J",3.3,8
"Shabana, Ahmed",1.5,16
"Shahbazian-Yassar, Reza",1,1
"Sharabiani, Ashkan",4,1
"Siow, Yeow",4.9,31
"Subramanian, Arunkumar",5,3
"Szwalek, Jamison",3.6,23
"Tejada Lopez, Carla A",NULL,NULL
"Williams, Quintin Levurn",4,29
"Xu, Jie",4.9,6
"Yarin, Alexander",2.7,23
"Yurkiv, Vitaliy Robert",4.3,4
"Abbassi, Hessamoddin",NULL,NULL
"Amirouche, Farid M L",2.6,4
"Banerjee, Prashant",1.8,10
"Baranescu, Rodica A",NULL,NULL
"Braun, Joseph C",NULL,NULL
"Cali, Salvatore",NULL,NULL
"Cetinkunt, Sabri",3.8,17
"Cha, Soyoung Stephen",NULL,NULL
"Cuttica, John J.",NULL,NULL
"Diwekar, Urmila M",NULL,NULL
"Grelle, Austin L",NULL,NULL
"Luciano, Cristian J",NULL,NULL
"Ratisoontorn, Nantaporn",NULL,NULL
"Thomas, Lynn Ann",NULL,NULL
"Wolfman, Howard L",NULL,NULL
"Wolfman, Howard L.",NULL,NULL
