Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
CS 100,Discovering Computer Science,3,17397,LCD,02:00 PM - 02:50 PM,3,"Reed, D",On Campus,Spring,2014,Afternoon,50
CS 107,Introduction to Computing and Programming,4,17412,LEC,12:30 PM - 01:45 PM,2,"Theys, M",On Campus,Spring,2014,Afternoon,75
CS 109,C/C ++ Programming for Engineers with MatLab,3,19466,LCD,02:00 PM - 02:50 PM,2,"Hummel, J",On Campus,Spring,2014,Afternoon,50
CS 111,Program Design I,3,34013,LCD,02:00 PM - 03:15 PM,2,"Troy, P",On Campus,Spring,2014,Afternoon,75
CS 141,Program Design II,3,34447,LCD,01:00 PM - 01:50 PM,3,"Reed, D",On Campus,Spring,2014,Afternoon,50
CS 151,Mathematical Foundations of Computing,3,34014,LEC,12:00 PM - 12:50 PM,3,"Simonson, C",On Campus,Spring,2014,Afternoon,50
CS 201,Data Structures and Discrete Mathematics I,4,17418,LCD,12:00 PM - 12:50 PM,1,"Liu, B",On Campus,Spring,2014,Afternoon,50
CS 201,Data Structures and Discrete Mathematics I,4,N/A,LCD,12:30 PM - 01:45 PM,2,N/A,On Campus,Spring,2014,Afternoon,75
CS 211,Programming Practicum,2,34456,LCD,10:00 AM - 10:50 AM,1,"Theys, M",On Campus,Spring,2014,Morning,50
CS 251,Data Structures,4,34460,LCD,11:00 AM - 11:50 AM,3,"Lillis, J",On Campus,Spring,2014,Morning,50
CS 261,Machine Organization,3,34463,LCD,02:00 PM - 03:15 PM,2,"Theys, M",On Campus,Spring,2014,Afternoon,75
CS 301,Languages and Automata,3,17422,LEC,01:00 PM - 01:50 PM,3,"Simonson, C",On Campus,Spring,2014,Afternoon,50
CS 341,Programming Language Design and Implementation,1,34723,LCD,11:00 AM - 11:50 AM,3,"Hummel, J",On Campus,Spring,2014,Morning,50
CS 342,Software Design,3,35976,LCD,09:30 AM - 10:45 AM,2,"Troy, P",On Campus,Spring,2014,Morning,75
CS 361,Computer Systems,3,36306,LCD,12:30 PM - 01:45 PM,2,"Bell, J",On Campus,Spring,2014,Afternoon,75
CS 362,Computer Design,3,36309,LCD,09:30 AM - 10:45 AM,2,"Theys, M",On Campus,Spring,2014,Morning,75
CS 377,Communication and Ethical Issues in Computing,3,36312,LCD,12:00 PM - 12:50 PM,2,"Solworth, J",On Campus,Spring,2014,Afternoon,50
CS 385,Operating Systems Concepts and Design,3,17428,LCD,03:30 PM - 04:45 PM,2,"Kimpe, D",On Campus,Spring,2014,Afternoon,75
CS 401,Computer Algorithms I,3,17454,LCD,11:00 AM - 11:50 AM,3,"Lenz, J",On Campus,Spring,2014,Morning,50
CS 401,Computer Algorithms I,3,20665,LCD,11:00 AM - 11:50 AM,3,"Lenz, J",On Campus,Spring,2014,Morning,50
CS 401,Computer Algorithms I,3,17455,LCD,12:30 PM - 01:45 PM,2,"Lillis, J",On Campus,Spring,2014,Afternoon,75
CS 401,Computer Algorithms I,3,20667,LCD,12:30 PM - 01:45 PM,2,"Lillis, J",On Campus,Spring,2014,Afternoon,75
CS 421,Natural Language Processing,3,28653,LEC,12:30 PM - 01:45 PM,2,"Di Eugenio, B",On Campus,Spring,2014,Afternoon,75
CS 421,Natural Language Processing,3,28654,LEC,12:30 PM - 01:45 PM,2,"Di Eugenio, B",On Campus,Spring,2014,Afternoon,75
CS 422,User Interface Design and Programming,3,19650,LCD,10:00 AM - 10:50 AM,3,"Lyons, L",On Campus,Spring,2014,Morning,50
CS 422,User Interface Design and Programming,3,20669,LCD,10:00 AM - 10:50 AM,3,"Lyons, L",On Campus,Spring,2014,Morning,50
CS 424,Visualization and Visual Analytics,3,36552,LCD,01:00 PM - 02:15 PM,1,"Johnson, A; Leigh, J",On Campus,Spring,2014,Afternoon,75
CS 424,Visualization and Visual Analytics,3,N/A,LCD,03:30 PM - 04:45 PM,1,"Johnson, A; Leigh, J",On Campus,Spring,2014,Afternoon,75
