Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
CS 100,Discovering Computer Science,17397.0,LCD,02:00 PM - 02:50 PM,MWF,"Reed, D",,Spring,2014,afternoon,50.0
CS 107,Introduction to Computing and Programming,17412.0,LEC,12:30 PM - 01:45 PM,TR,"Theys, M",,Spring,2014,afternoon,75.0
CS 109,C/C ++ Programming for Engineers with MatLab,19466.0,LCD,02:00 PM - 02:50 PM,MW,"Hummel, J",,Spring,2014,afternoon,50.0
CS 111,Program Design I,34013.0,LCD,02:00 PM - 03:15 PM,TR,"Troy, P",,Spring,2014,afternoon,75.0
CS 141,Program Design II,34447.0,LCD,01:00 PM - 01:50 PM,MWF,"Reed, D",,Spring,2014,afternoon,50.0
CS 151,Mathematical Foundations of Computing,34014.0,LEC,12:00 PM - 12:50 PM,MWF,"Simonson, C",,Spring,2014,afternoon,50.0
CS 201,Data Structures and Discrete Mathematics I,17418.0,LCD,12:00 PM - 12:50 PM,F,"Liu, B",,Spring,2014,afternoon,50.0
CS 201,Data Structures and Discrete Mathematics I,,LCD,12:30 PM - 01:45 PM,TR,,,Spring,2014,afternoon,75.0
CS 211,Programming Practicum,34456.0,LCD,10:00 AM - 10:50 AM,M,"Theys, M",,Spring,2014,morning,50.0
CS 251,Data Structures,34460.0,LCD,11:00 AM - 11:50 AM,MWF,"Lillis, J",,Spring,2014,morning,50.0
CS 261,Machine Organization,34463.0,LCD,02:00 PM - 03:15 PM,TR,"Theys, M",,Spring,2014,afternoon,75.0
CS 301,Languages and Automata,17422.0,LEC,01:00 PM - 01:50 PM,MWF,"Simonson, C",,Spring,2014,afternoon,50.0
CS 341,Programming Language Design and Implementation,34723.0,LCD,11:00 AM - 11:50 AM,MWF,"Hummel, J",,Spring,2014,morning,50.0
CS 342,Software Design,35976.0,LCD,09:30 AM - 10:45 AM,TR,"Troy, P",,Spring,2014,morning,75.0
CS 361,Computer Systems,36306.0,LCD,12:30 PM - 01:45 PM,TR,"Bell, J",,Spring,2014,afternoon,75.0
