YEAR,SEMESTER,CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,DFR,I,NR,S,U,W,Primary Instructor,Grade Regs
2014,Spring,CS,100,Discovering Computer Science,2699,Computer Science,21,12,9,0,2,0,0,0,0,0,2,"Reed, Dale F",46
2014,Spring,CS,107,Intro Comp & Programming,2699,Computer Science,15,24,19,12,8,0,0,0,0,0,11,"Theys, Mitchell D",89
2014,Spring,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,59,44,38,1,10,0,0,0,0,0,16,"Hummel, Joseph E",168
2014,Spring,CS,111,Program Design I,2699,Computer Science,38,30,13,3,7,0,0,0,0,0,6,"Troy, Patrick A",97
2014,Spring,CS,141,Program Design II,2699,Computer Science,33,33,33,12,15,0,0,0,0,0,3,"Reed, Dale F",129
2014,Spring,CS,151,Foundations of Computing,2699,Computer Science,15,25,58,3,10,0,0,0,0,0,12,"Simonson, Charles",123
2014,Spring,CS,201,Discrete Structures I,2699,Computer Science,0,0,0,0,0,0,0,18,0,0,3,"Liu, Bing",21
2014,Spring,CS,211,Programming Practicum,2699,Computer Science,16,27,15,5,8,0,0,0,0,0,6,"Theys, Mitchell D",77
2014,Spring,CS,251,Data Structures,2699,Computer Science,18,23,14,5,7,0,0,2,0,0,6,"Lillis, John P",75
2014,Spring,CS,261,Machine Organization,2699,Computer Science,22,20,19,13,5,0,0,0,0,0,8,"Theys, Mitchell D",87
2014,Spring,CS,301,Languages and Automata,2699,Computer Science,11,19,23,2,1,0,1,0,0,0,0,"Simonson, Charles",57
2014,Spring,CS,341,Programming Language Concepts,2699,Computer Science,20,12,18,3,5,0,1,0,0,0,1,"Hummel, Joseph E",60
2014,Spring,CS,342,Software Design,2699,Computer Science,28,19,13,4,0,0,0,0,0,0,0,"Troy, Patrick A",64
2014,Spring,CS,361,Computer Systems,2699,Computer Science,13,12,12,3,4,0,1,0,0,0,2,"Bell, John T",47
2014,Spring,CS,362,Computer Design,2699,Computer Science,14,4,5,1,0,0,1,0,0,0,0,"Theys, Mitchell D",25
2014,Spring,CS,377,Communication and Ethics,2699,Computer Science,42,0,0,0,0,0,0,0,0,0,2,"Solworth, Jon A",44
2014,Spring,CS,385,Operating Systems,2699,Computer Science,5,4,5,0,2,0,0,0,0,0,3,"Kimpe, Dries",19
2014,Spring,CS,421,Language Processing,2699,Computer Science,18,13,6,1,3,0,0,0,0,0,0,"Di Eugenio, Barbara",41
2014,Spring,CS,422,User Interface Design,2699,Computer Science,9,9,7,5,0,0,0,0,0,0,2,"Lyons, Leilah B",32
2014,Spring,CS,426,Video Game Design,2699,Computer Science,17,2,0,0,0,0,0,0,0,0,1,"Tulewicz, Mark Roger",20
2014,Spring,CS,440,Software Engr I,2699,Computer Science,14,9,3,0,1,0,0,0,0,0,0,"Bell, John T",27
2014,Spring,CS,442,Software Engineering II,2699,Computer Science,5,7,1,0,0,0,0,0,0,0,0,"Grechanik, Mark",13
2014,Spring,CS,450,Intro to Networking,2699,Computer Science,19,10,7,0,2,0,0,0,0,0,2,"Bell, John T",40
2014,Spring,CS,469,Computer Systems Design,2699,Computer Science,5,5,3,0,0,0,0,0,0,0,0,"Rao, Wenjing",13
2014,Spring,CS,473,Compiler Design,2699,Computer Science,12,10,5,2,0,0,0,0,0,0,1,"Gjomemo, Rigel",30
2014,Spring,CS,474,Obj-Oriented Langs & Envs,2699,Computer Science,24,6,14,5,2,0,0,0,0,0,6,"Buy, Ugo A",57
2014,Spring,CS,480,Database Systems,2699,Computer Science,13,19,14,5,3,0,0,0,0,0,3,"Sistla, Aravinda Prasad",57
2014,Spring,CS,491,Intro to Machine Learning,2699,Computer Science,10,9,0,0,0,0,0,0,0,0,0,"Ziebart, Brian D",19
2014,Spring,CS,493,Special Problems,2699,Computer Science,36,0,0,0,0,0,0,0,0,0,0,"Troy, Patrick A",36
2014,Spring,CS,502,Computational Biology,2699,Computer Science,26,0,0,0,0,0,0,0,0,0,0,"DasGupta, Bhaskar",26
2014,Spring,CS,545,Formal Meth/Concur&Dist Systms,2699,Computer Science,0,0,0,0,0,0,0,14,0,0,0,"Thomas, Lynn Ann",14
2014,Spring,CS,553,Distributed Systems,2699,Computer Science,9,8,0,0,0,0,0,0,0,0,0,"Kshemkalyani, Ajay D",17
2014,Spring,CS,581,Database Management Systms,2699,Computer Science,12,9,0,0,0,0,0,0,0,0,0,"Wolfson, Ouri",21
2014,Spring,CS,582,Information Retrieval,2699,Computer Science,13,13,1,0,0,0,0,0,0,0,0,"Yu, Clement T",27
2014,Spring,CS,583,Data Mining & Text Mining,2699,Computer Science,11,7,4,1,0,0,0,0,0,0,1,"Liu, Bing",24
2014,Spring,CS,583,Data Mining & Text Mining,2699,Computer Science,0,0,0,0,0,0,0,14,0,0,0,"Thomas, Lynn Ann",14
2014,Spring,CS,588,Networked & Dist Syst Security,2699,Computer Science,18,0,0,0,1,0,0,0,0,0,0,"Solworth, Jon A",19
2014,Spring,ECE,469,Computer Systems Design,2699,Computer Science,17,8,1,0,0,0,0,0,0,0,0,"Rao, Wenjing",26
2014,Summer,CS,107,Intro Comp & Programming,2699,Computer Science,7,3,2,1,0,0,0,0,0,0,0,"Wong, Kong-Cheng",13
2014,Summer,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,10,8,7,2,5,0,0,0,0,0,4,"Bell, John T",36
2014,Summer,CS,151,Foundations of Computing,2699,Computer Science,6,7,4,0,0,0,1,0,0,0,0,"Lillis, John P",18
2014,Summer,CS,480,Database Systems,2699,Computer Science,7,10,9,1,1,0,0,0,0,0,0,"Sistla, Aravinda Prasad",28
2014,Fall,CS,100,Discovering Computer Science,2699,Computer Science,19,26,9,4,1,0,1,0,0,0,2,"Reed, Dale F",62
2014,Fall,CS,107,Intro Comp & Programming,2699,Computer Science,22,38,19,0,5,0,0,0,0,0,4,"Wong, Kong-Cheng",88
2014,Fall,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,84,47,31,12,16,0,28,0,0,0,15,"Hummel, Joseph E",233
2014,Fall,CS,111,Program Design I,2699,Computer Science,53,46,24,8,9,0,0,0,0,0,4,"Troy, Patrick A",144
2014,Fall,CS,141,Program Design II,2699,Computer Science,31,37,21,9,0,0,0,16,0,0,21,"Lillis, John P",135
2014,Fall,CS,151,Foundations of Computing,2699,Computer Science,23,26,19,13,7,0,0,3,0,0,10,"Berger-Wolf, Tanya Yonit",101
2014,Fall,CS,201,Discrete Structures I,2699,Computer Science,9,9,4,3,6,0,0,0,0,0,5,"Troy, Patrick A",36
2014,Fall,CS,211,Programming Practicum,2699,Computer Science,86,16,7,4,4,0,0,1,0,0,11,"Troy, Patrick A",129
2014,Fall,CS,251,Data Structures,2699,Computer Science,41,34,27,10,8,0,0,0,0,0,5,"Reed, Dale F",125
2014,Fall,CS,261,Machine Organization,2699,Computer Science,15,22,22,13,6,0,0,0,0,0,11,"Theys, Mitchell D",89
2014,Fall,CS,301,Languages and Automata,2699,Computer Science,17,20,21,5,1,0,0,0,0,0,4,"Sistla, Aravinda Prasad",68
2014,Fall,CS,341,Programming Language Concepts,2699,Computer Science,35,19,16,1,3,0,0,0,0,0,5,"Hummel, Joseph E",79
2014,Fall,CS,342,Software Design,2699,Computer Science,30,12,10,2,3,0,0,0,0,0,1,"Buy, Ugo A",58
2014,Fall,CS,361,Computer Systems,2699,Computer Science,18,29,7,1,4,0,0,0,0,0,6,"Bell, John T",65
2014,Fall,CS,362,Computer Design,2699,Computer Science,19,22,14,3,1,0,0,0,0,0,3,"Theys, Mitchell D",62
2014,Fall,CS,377,Communication and Ethics,2699,Computer Science,19,14,8,0,1,0,0,0,0,0,2,"Bell, John T",44
2014,Fall,CS,385,Operating Systems,2699,Computer Science,11,16,11,3,4,0,0,0,0,0,7,"Eriksson, Jakob L",52
2014,Fall,CS,411,Artificial Intelligence I,2699,Computer Science,29,16,8,1,0,0,0,0,0,0,8,"Gmytrasiewicz, Piotr",62
2014,Fall,CS,424,Visual Analytics,2699,Computer Science,5,16,4,3,0,0,0,0,0,0,4,"Johnson, Andrew E",32
2014,Fall,CS,440,Software Engr I,2699,Computer Science,42,8,7,0,0,0,0,0,0,0,3,"Bell, John T",60
2014,Fall,CS,441,Distrib Object Programming,2699,Computer Science,17,13,3,1,0,0,0,0,0,0,3,"Grechanik, Mark",37
2014,Fall,CS,450,Intro to Networking,2699,Computer Science,7,10,6,0,0,0,0,0,0,0,4,"Kanich, Chris",27
2014,Fall,CS,474,Obj-Oriented Langs & Envs,2699,Computer Science,14,19,15,7,1,0,1,0,0,0,3,"Buy, Ugo A",60
2014,Fall,CS,480,Database Systems,2699,Computer Science,8,10,13,1,0,0,0,17,0,0,4,"Wolfson, Ouri",53
2014,Fall,CS,487,Secure Computer Systems,2699,Computer Science,15,8,6,2,0,0,0,0,0,0,1,"Venkatesan Natarajan, Venkatakrishnan",32
2014,Fall,CS,488,Computer Graphics I,2699,Computer Science,7,4,3,0,0,0,0,0,0,0,0,"Forbes, Angus",14
2014,Fall,CS,514,Expert Systems,2699,Computer Science,11,2,0,0,0,0,0,0,0,0,0,"Gmytrasiewicz, Piotr",13
2014,Fall,CS,521,Stat Natural Lang Processing,2699,Computer Science,12,9,2,0,0,0,0,0,0,0,0,"Di Eugenio, Barbara",23
2014,Fall,CS,583,Data Mining & Text Mining,2699,Computer Science,14,6,4,0,2,0,0,0,0,0,0,"Liu, Bing",26
2014,Fall,CS,587,Computer Systems Security,2699,Computer Science,25,14,3,0,0,0,1,0,0,0,0,"Solworth, Jon A",43
2014,Fall,ECE,566,Parallel Processing,2699,Computer Science,11,6,4,1,0,0,0,0,0,0,0,"Kshemkalyani, Ajay D",22
2015,Spring,CS,100,Discovering Computer Science,2699,Computer Science,34,14,1,0,1,0,0,0,0,0,9,"Bell, John T",59
2015,Spring,CS,107,Intro Comp & Programming,2699,Computer Science,25,36,16,7,6,0,0,0,0,0,6,"Wong, Kong-Cheng",96
2015,Spring,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,73,63,32,1,11,0,26,0,0,0,10,"Hummel, Joseph E",216
