YEAR,SEMESTER,CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs
2014,Spring,ENER,420,"CHP, Design & Management",2323,Mechanical & Industrial Engr,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cuttica, John J.",24
2014,Spring,ENER,422,Building HVAC,2323,Mechanical & Industrial Engr,19,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan, William A",27
2014,Spring,ENER,451,Electric Power Generation,2323,Mechanical & Industrial Engr,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan, William A",22
2014,Spring,ENER,552,Design of Efficient Buildings,2323,Mechanical & Industrial Engr,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan, William A",24
2014,Spring,IE,201,Financial Engineering,2323,Mechanical & Industrial Engr,24,31,39,15,5,0,0,0,0,0,0,0,0,0,0,4,"Banerjee, Prashant",118
2014,Spring,IE,342,Probability & Stat for Engr,2323,Mechanical & Industrial Engr,11,72,6,3,1,0,0,0,0,0,0,0,0,0,0,3,"He, David Weihua",96
2014,Spring,IE,345,Regr Analysis & Forecast,2323,Mechanical & Industrial Engr,9,32,5,0,1,0,0,0,0,0,1,0,0,0,0,0,"He, David Weihua",48
2014,Spring,IE,396,Senior Design Project,2323,Mechanical & Industrial Engr,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Michael A",14
2014,Spring,IE,446,Quality Control & Reliability,2323,Mechanical & Industrial Engr,18,13,16,3,2,0,0,0,0,0,0,0,0,0,0,1,"Li, Lin",53
2014,Spring,IE,463,Plant Layout & Mater Handling,2323,Mechanical & Industrial Engr,27,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Ratisoontorn, Nantaporn",40
2014,Spring,IE,466,Product Plan &Inventory Contrl,2323,Mechanical & Industrial Engr,13,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,"Ratisoontorn, Nantaporn",44
2014,Spring,IE,472,Operations Research II,2323,Mechanical & Industrial Engr,37,16,7,0,2,0,0,0,0,0,0,0,0,0,0,0,"Ratisoontorn, Nantaporn",62
2014,Spring,IE,494,Haptics and Augmented Reality,2323,Mechanical & Industrial Engr,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luciano, Cristian J",11
2014,Spring,IE,499,Prof Development Seminar,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,"Manafzadeh, Saeed",16
2014,Spring,IE,595,Industrial Engineering Seminar,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,"Scott, Michael J",34
2014,Spring,ME,205,Intro to Thermodynamics,2323,Mechanical & Industrial Engr,72,25,25,12,10,0,0,0,0,0,0,0,0,0,0,7,"Manafzadeh, Saeed",151
2014,Spring,ME,210,Engineering Dynamics,2323,Mechanical & Industrial Engr,24,28,39,8,7,0,0,0,1,0,0,0,0,0,0,5,"Manafzadeh, Saeed",112
2014,Spring,ME,211,Fluid Mechanics l,2323,Mechanical & Industrial Engr,13,31,32,10,3,0,0,0,0,0,0,0,0,0,0,5,"Yarin, Alexander",94
2014,Spring,ME,250,Intro to Engineering Design,2323,Mechanical & Industrial Engr,27,53,6,2,0,0,0,0,0,0,0,0,0,0,0,0,"Abiade, Jeremiah T",88
2014,Spring,ME,250,Intro to Engineering Design,2323,Mechanical & Industrial Engr,35,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"Siow, Yeow",43
2014,Spring,ME,308,Mechanical Vibrations,2323,Mechanical & Industrial Engr,45,16,4,3,6,0,0,0,0,0,0,0,0,0,0,2,"Lilley, Carmen M",76
2014,Spring,ME,312,Dynamic Syst & Control,2323,Mechanical & Industrial Engr,38,29,18,1,0,0,0,0,0,0,0,0,0,0,0,6,"Brown, Michael A",92
2014,Spring,ME,320,Mechanisms&Dynamics/Machinery,2323,Mechanical & Industrial Engr,18,29,20,0,0,0,0,0,0,0,0,0,0,0,0,4,"Brown, Michael A",71
2014,Spring,ME,321,Heat Transfer,2323,Mechanical & Industrial Engr,19,28,17,1,0,0,0,0,0,0,0,0,0,0,0,0,"Salehi-Khojin, Amin",65
2014,Spring,ME,325,Intermediate Thermodynamics,2323,Mechanical & Industrial Engr,37,11,10,3,0,0,0,0,0,0,0,0,0,0,0,2,"Siow, Yeow",63
2014,Spring,ME,341,Exp Methods in Mech Engr,2323,Mechanical & Industrial Engr,17,16,14,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cha, Soyoung Stephen",48
2014,Spring,ME,370,Mechanical Engineering Design,2323,Mechanical & Industrial Engr,52,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Siow, Yeow",61
2014,Spring,ME,380,Manufacturing Process Princ,2323,Mechanical & Industrial Engr,13,28,6,0,1,0,0,0,1,0,0,0,0,0,0,2,"Abiade, Jeremiah T",51
2014,Spring,ME,396,Senior Design Project,2323,Mechanical & Industrial Engr,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Michael A",49
2014,Spring,ME,412,Dynamic Systems Analysis I,2323,Mechanical & Industrial Engr,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cetinkunt, Sabri",26
2014,Spring,ME,413,Dynamics of Mechanical Systems,2323,Mechanical & Industrial Engr,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Shabana, Ahmed",12
2014,Spring,ME,415,Propulsion Theory,2323,Mechanical & Industrial Engr,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,"Brezinsky, Kenneth",12
2014,Spring,ME,417,Intermediate Fluid Mechanics,2323,Mechanical & Industrial Engr,9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"Megaridis, Constantine M",16
2014,Spring,ME,428,Numerical Methods in ME,2323,Mechanical & Industrial Engr,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,5,"Aggarwal, Suresh K",70
2014,Spring,ME,447,Computer-Aided Design,2323,Mechanical & Industrial Engr,34,19,6,0,0,0,0,0,0,0,0,0,0,0,0,1,"Amirouche, Farid M L",60
2014,Spring,ME,450,Air Pollution Engineering,2323,Mechanical & Industrial Engr,32,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2,"Manafzadeh, Saeed",55
2014,Spring,ME,499,Prof Development Seminar,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0,"Manafzadeh, Saeed",54
2014,Spring,ME,511,Mechatronics II,2323,Mechanical & Industrial Engr,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cetinkunt, Sabri",23
2014,Spring,ME,540,Microsystem Design,2323,Mechanical & Industrial Engr,4,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"Saggere, Laxman",17
2014,Spring,ME,594,Heat Conduction and Radiation,2323,Mechanical & Industrial Engr,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minkowycz, W J",22
2014,Spring,ME,595,Mechanical Engineering Seminar,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,102,4,0,"Scott, Michael J",106
2014,Summer,IE,201,Financial Engineering,2323,Mechanical & Industrial Engr,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Darabi, Houshang",13
2014,Summer,IE,342,Probability & Stat for Engr,2323,Mechanical & Industrial Engr,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"He, David Weihua",18
2014,Summer,ME,205,Intro to Thermodynamics,2323,Mechanical & Industrial Engr,6,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Manafzadeh, Saeed",14
2014,Summer,ME,210,Engineering Dynamics,2323,Mechanical & Industrial Engr,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,"Lilley, Carmen M",14
2014,Summer,ME,428,Numerical Methods in ME,2323,Mechanical & Industrial Engr,12,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Manafzadeh, Saeed",24
2014,Fall,ENER,424,Energy Mgmt & Conservation,2323,Mechanical & Industrial Engr,19,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Ryan, William A",26
2014,Fall,ENER,429,Internal Combustion Engines,2323,Mechanical & Industrial Engr,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Baranescu, Rodica A",13
2014,Fall,ENER,501,Engineering Project Coord,2323,Mechanical & Industrial Engr,24,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Wolfman, Howard L.",27
2014,Fall,ENER,553,Sustainable Energy,2323,Mechanical & Industrial Engr,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan, William A",24
2014,Fall,IE,201,Financial Engineering,2323,Mechanical & Industrial Engr,44,56,53,13,2,0,0,0,1,0,0,0,0,0,0,4,"Banerjee, Prashant",173
2014,Fall,IE,342,Probability & Stat for Engr,2323,Mechanical & Industrial Engr,16,25,24,9,4,0,0,0,0,0,0,0,0,0,0,3,"Li, Lin",81
2014,Fall,IE,365,Work Productivity Analysis,2323,Mechanical & Industrial Engr,26,12,9,0,1,0,0,0,0,0,0,0,0,0,0,0,"Darabi, Houshang",48
2014,Fall,IE,380,Manufacturing Process Princ,2323,Mechanical & Industrial Engr,10,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"Abiade, Jeremiah T",24
2014,Fall,IE,394,Senior Capstone Design,2323,Mechanical & Industrial Engr,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Michael A",13
2014,Fall,IE,396,Senior Design I,2323,Mechanical & Industrial Engr,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Michael A",16
2014,Fall,IE,442,Design &Analysis of Experiment,2323,Mechanical & Industrial Engr,13,14,10,9,5,0,0,0,0,0,0,0,0,0,0,0,"Li, Lin",51
2014,Fall,IE,461,Safety Engineering,2323,Mechanical & Industrial Engr,16,23,6,0,1,0,0,0,0,0,0,0,0,0,0,0,"Cali, Salvatore",46
2014,Fall,IE,467,Discrete Event Simulation,2323,Mechanical & Industrial Engr,4,23,8,1,0,0,0,0,0,0,0,0,0,0,0,0,"He, David Weihua",36
2014,Fall,IE,471,Operations Research I,2323,Mechanical & Industrial Engr,22,20,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"Darabi, Houshang",47
2014,Fall,IE,473,Stochastic Processes & Queuing,2323,Mechanical & Industrial Engr,42,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Darabi, Houshang",47
