Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
IE 201,Financial Engineering,3,16559,LCD,11:00 AM - 11:50 AM,3,"Banerjee, P",On Campus,Spring,2014,Morning,50
IE 312,Dynamic Systems and Control,3,35720,LCD,09:30 AM - 10:45 AM,2,N/A,On Campus,Spring,2014,Morning,75
IE 312,Dynamic Systems and Control,3,21976,LCD,09:30 AM - 10:45 AM,2,"Brown, M",On Campus,Spring,2014,Morning,75
IE 342,Probability and Statistics for Engineers,3,29781,LCD,01:00 PM - 01:50 PM,3,"He, D",On Campus,Spring,2014,Afternoon,50
IE 345,Regression Applications and Forecasting in Engineering,3,23213,LCD,10:00 AM - 10:50 AM,3,"He, D",On Campus,Spring,2014,Morning,50
IE 380,Manufacturing Process Principles,3,16571,LCD,10:00 AM - 10:50 AM,3,"Abiade, J",On Campus,Spring,2014,Morning,50
IE 396,Senior Design I,4,16572,LCD,12:30 PM - 02:10 PM,2,"Brown, M",On Campus,Spring,2014,Afternoon,100
IE 412,Dynamic Systems Analysis I,3,31906,LCD,05:00 PM - 06:15 PM,2,"Cetinkunt, S",On Campus,Spring,2014,Evening,75
IE 412,Dynamic Systems Analysis I,3,31907,LCD,05:00 PM - 06:15 PM,2,"Cetinkunt, S",On Campus,Spring,2014,Evening,75
IE 445,Interdisciplinary Product Development 2,4,31905,LCD,ARRANGED,0,"Scott, M",On Campus,Spring,2014,N/A,0
IE 446,Quality Control and Reliability,3,16566,LCD,11:00 AM - 12:15 PM,2,"Li, L",On Campus,Spring,2014,Morning,75
IE 446,Quality Control and Reliability,3,19267,LCD,11:00 AM - 12:15 PM,2,"Li, L",On Campus,Spring,2014,Morning,75
IE 463,Plant Layout and Materials Handling,3,16568,LCD,02:00 PM - 02:50 PM,3,"Ratisoontorn, N",On Campus,Spring,2014,Afternoon,50
IE 463,Plant Layout and Materials Handling,3,19269,LCD,02:00 PM - 02:50 PM,3,"Ratisoontorn, N",On Campus,Spring,2014,Afternoon,50
IE 466,Production Planning and Inventory Control,3,16569,LCD,12:00 PM - 12:50 PM,3,"Ratisoontorn, N",On Campus,Spring,2014,Afternoon,50
IE 466,Production Planning and Inventory Control,3,19270,LCD,12:00 PM - 12:50 PM,3,"Ratisoontorn, N",On Campus,Spring,2014,Afternoon,50
IE 472,Operations Research II,3,16570,LCD,04:00 PM - 04:50 PM,3,"Ratisoontorn, N",On Campus,Spring,2014,Afternoon,50
IE 472,Operations Research II,3,19538,LCD,04:00 PM - 04:50 PM,3,"Ratisoontorn, N",On Campus,Spring,2014,Afternoon,50
IE 494,Special Topics in Industrial Engineering,3,33581,LCD,03:30 PM - 04:45 PM,2,"Luciano, C",On Campus,Spring,2014,Afternoon,75
IE 494,Special Topics in Industrial Engineering,3,33582,LCD,03:30 PM - 04:45 PM,2,"Luciano, C",On Campus,Spring,2014,Afternoon,75
IE 499,Professional Development Seminar,0,27062,LCD,ARRANGED,0,"Manafzadeh, S",On Campus,Spring,2014,N/A,0
IE 511,Mechatronics II,4,21798,LEC,06:30 PM - 07:45 PM,2,"Cetinkunt, S",On Campus,Spring,2014,Evening,75
IE 201,Financial Engineering,3,19819,LCD,01:00 PM - 03:55 PM,4,"Darabi, H",On Campus,Summer,2014,Afternoon,175
IE 342,Probability and Statistics for Engineers,3,17226,LCD,10:00 AM - 12:30 PM,2,"He, D",On Campus,Summer,2014,Morning,150
IE 201,Financial Engineering,3,12747,LCD,11:00 AM - 11:50 AM,3,"Banerjee, P",On Campus,Fall,2014,Morning,50
IE 312,Dynamic Systems and Control,3,22491,LCD,09:30 AM - 10:45 AM,2,"Berniker, M",On Campus,Fall,2014,Morning,75
IE 342,Probability and Statistics for Engineers,3,12762,LCD,03:00 PM - 03:50 PM,3,"Li, L",On Campus,Fall,2014,Afternoon,50
IE 365,Work Productivity Analysis,4,12769,LCD,04:00 PM - 04:50 PM,3,"Darabi, H",On Campus,Fall,2014,Afternoon,50
IE 380,Manufacturing Process Principles,3,12770,LCD,03:00 PM - 03:50 PM,3,"Abiade, J",On Campus,Fall,2014,Afternoon,50
IE 394,Senior Capstone Design,4,37911,LCD,ARRANGED,0,"Brown, M",On Campus,Fall,2014,N/A,0
IE 394,Senior Capstone Design,4,37427,LCD,12:15 PM - 01:55 PM,1,"Brown, M",On Campus,Fall,2014,Afternoon,100
IE 396,Senior Design I,2,37915,LCD,10:00 AM - 10:50 AM,2,"Brown, M",On Campus,Fall,2014,Morning,50
IE 396,Senior Design I,2,12774,LCD,11:00 AM - 11:50 AM,2,"Brown, M",On Campus,Fall,2014,Morning,50
IE 411,Mechatronics I,0,32261,LEC,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Fall,2014,Afternoon,75
IE 411,Mechatronics I,0,32262,LEC,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Fall,2014,Afternoon,75
IE 441,Ergonomics and Human Factors,3,29570,LCD,09:00 AM - 09:50 AM,3,"Banerjee, P; Sheth, N",On Campus,Fall,2014,Morning,50
IE 441,Ergonomics and Human Factors,3,29571,LCD,09:00 AM - 09:50 AM,3,"Banerjee, P; Sheth, N",On Campus,Fall,2014,Morning,50
IE 442,Design and Analysis of Experiments in Engineering,4,34405,LCD,12:00 PM - 12:50 PM,3,"Li, L",On Campus,Fall,2014,Afternoon,50
IE 444,Interdisciplinary Product Development I,3,28573,LCD,ARRANGED,0,"Scott, M",On Campus,Fall,2014,N/A,0
IE 444,Interdisciplinary Product Development I,3,28574,LCD,ARRANGED,0,"Scott, M",On Campus,Fall,2014,N/A,0
IE 461,Safety Engineering,3,12782,LCD,05:00 PM - 06:15 PM,2,"Cali, S",On Campus,Fall,2014,Evening,75
IE 461,Safety Engineering,3,20377,LCD,05:00 PM - 06:15 PM,2,"Cali, S",On Campus,Fall,2014,Evening,75
IE 464,Virtual Automation,0,12784,LCD,02:00 PM - 02:50 PM,3,"Banerjee, P",On Campus,Fall,2014,Afternoon,50
IE 464,Virtual Automation,0,20375,LCD,02:00 PM - 02:50 PM,3,"Banerjee, P",On Campus,Fall,2014,Afternoon,50
IE 467,Discrete Event Computer Simulation Application,3,12785,LCD,09:30 AM - 10:45 AM,2,"He, D",On Campus,Fall,2014,Morning,75
IE 467,Discrete Event Computer Simulation Application,3,20378,LCD,09:30 AM - 10:45 AM,2,"He, D",On Campus,Fall,2014,Morning,75
IE 471,Operations Research I,3,12787,LCD,01:00 PM - 01:50 PM,3,"Darabi, H",On Campus,Fall,2014,Afternoon,50
IE 471,Operations Research I,3,20379,LCD,01:00 PM - 01:50 PM,3,"Darabi, H",On Campus,Fall,2014,Afternoon,50
IE 473,Stochastic Processes and Queuing Models,3,38116,LCD,ARRANGED,0,N/A,On Campus,Fall,2014,N/A,0
IE 473,Stochastic Processes and Queuing Models,3,38117,LCD,ARRANGED,0,N/A,On Campus,Fall,2014,N/A,0
IE 473,Stochastic Processes and Queuing Models,3,35388,LCD,11:00 AM - 11:50 AM,3,"Darabi, H; Ebrahimi, S",On Campus,Fall,2014,Morning,50
IE 473,Stochastic Processes and Queuing Models,3,35475,LCD,11:00 AM - 11:50 AM,3,"Darabi, H; Ebrahimi, S",On Campus,Fall,2014,Morning,50
IE 499,Professional Development Seminar,0,27839,LCD,ARRANGED,0,"Manafzadeh, S",On Campus,Fall,2014,N/A,0
IE 567,Data Mining for Machine Health Diagnosis and Prognosis,4,32062,LCD,12:30 PM - 01:45 PM,2,"He, D",On Campus,Fall,2014,Afternoon,75
IE 594,Current Topics in Industrial Engineering,4,37436,LCD,03:00 PM - 04:15 PM,2,"Diwekar, U",On Campus,Fall,2014,Afternoon,75
IE 594,Current Topics in Industrial Engineering,4,33082,LCD,05:00 PM - 07:30 PM,1,"Pan, Y",On Campus,Fall,2014,Evening,150
IE 201,Financial Engineering,3,16559,LCD,11:00 AM - 11:50 AM,3,"Banerjee, P",On Campus,Spring,2015,Morning,50
IE 312,Dynamic Systems and Control,3,35720,LCD,01:00 PM - 01:50 PM,3,"Shabana, A",On Campus,Spring,2015,Afternoon,50
IE 342,Probability and Statistics for Engineers,3,29781,LCD,01:00 PM - 01:50 PM,3,"He, D",On Campus,Spring,2015,Afternoon,50
IE 345,Regression Applications and Forecasting in Engineering,3,23213,LCD,10:00 AM - 10:50 AM,3,"Pan, Y",On Campus,Spring,2015,Morning,50
IE 380,Manufacturing Process Principles,3,16571,LCD,09:00 AM - 09:50 AM,3,"Abiade, J",On Campus,Spring,2015,Morning,50
IE 396,Senior Design I,2,37732,LCD,ARRANGED,0,"Brown, M",On Campus,Spring,2015,N/A,0
IE 396,Senior Design I,2,16572,LCD,03:30 PM - 04:30 PM,2,"Brown, M",On Campus,Spring,2015,Afternoon,60
IE 397,Senior Design Il,2,37340,LCD,ARRANGED,0,"Brown, M",On Campus,Spring,2015,N/A,0
IE 397,Senior Design Il,2,36816,LCD,12:30 PM - 01:20 PM,2,"Brown, M",On Campus,Spring,2015,Afternoon,50
IE 412,Dynamic Systems Analysis I,3,31906,LCD,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Spring,2015,Afternoon,75
IE 412,Dynamic Systems Analysis I,3,31907,LCD,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Spring,2015,Afternoon,75
IE 445,Interdisciplinary Product Development 2,4,31905,LCD,ARRANGED,0,"Scott, M",On Campus,Spring,2015,N/A,0
IE 446,Quality Control and Reliability,3,16566,LCD,09:30 AM - 10:45 AM,2,"Li, L",On Campus,Spring,2015,Morning,75
IE 446,Quality Control and Reliability,3,19267,LCD,09:30 AM - 10:45 AM,2,"Li, L",On Campus,Spring,2015,Morning,75
IE 463,Plant Layout and Materials Handling,3,16568,LCD,01:00 PM - 01:50 PM,3,"Williams, Q",On Campus,Spring,2015,Afternoon,50
IE 463,Plant Layout and Materials Handling,3,19269,LCD,01:00 PM - 01:50 PM,3,"Williams, Q",On Campus,Spring,2015,Afternoon,50
IE 466,Production Planning and Inventory Control,3,16569,LCD,11:00 AM - 11:50 AM,3,"Williams, Q",On Campus,Spring,2015,Morning,50
IE 466,Production Planning and Inventory Control,3,19270,LCD,11:00 AM - 11:50 AM,3,"Williams, Q",On Campus,Spring,2015,Morning,50
