Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
IE 118,Energy for Sustainable Society,48593,LCD,09:30 AM - 10:45 AM,TR,"Alonso, M",Meet on campus
IE 201,Financial Engineering,12747,LCD,12:00 PM - 12:50 PM,MWF,"Haghighi, A",Meet on campus
IE 312,Dynamic Systems and Control,22491,LCD,ARRANGED,,,Meet on campus
IE 312,Dynamic Systems and Control,43502,LCD,10:00 AM - 10:50 AM,MWF,"Cetin, S",Meet on campus
IE 342,Probability and Statistics for Engineers,48428,LCD,02:00 PM - 03:15 PM,TR,"Brezinsky, K",Meet on campus
IE 342,Probability and Statistics for Engineers,43531,LCD,02:00 PM - 02:50 PM,MWF,"Nicolsen, B",Meet on campus
IE 342,Probability and Statistics for Engineers,12762,LCD,03:00 PM - 03:50 PM,MWF,"Li, L",Meet on campus
IE 345,Regression Applications and Forecasting in Engineering,42035,LCD,03:00 PM - 03:50 PM,MWF,"Huang, J",Meet on campus
IE 365,Work Productivity Analysis,12769,LCD - AS1,01:00 PM - 01:50 PM,MWF,"Williams, Q",Meet on campus
IE 380,Manufacturing Process Principles,12770,LCD,08:00 AM - 08:50 AM,MWF,"Shahbazian-Yassar, R",Meet on campus
IE 380,Manufacturing Process Principles,35406,LCD,09:00 AM - 09:50 AM,MWF,"Abiade, J",Meet on campus
IE 394,Senior Capstone Design,37427,LCD,ARRANGED,,,
IE 394,Senior Capstone Design,37911,LCD,ARRANGED,,,
IE 396,Senior Design I,40061,LCD - AS3,04:00 PM - 04:50 PM,MW,"Komperda, J; Scott, S",Meet on campus
IE 396,Senior Design I,37915,LCD - AS2,11:00 AM - 11:50 AM,MW,"Komperda, J; Scott, S",Meet on campus
IE 396,Senior Design I,40904,LCD - AS4,05:00 PM - 05:50 PM,MW,"Scott, S",Meet on campus
IE 396,Senior Design I,41221,LCD - AS,12:30 PM - 01:20 PM,TR,"Brown, M; Scott, S",Meet on campus
IE 396,Senior Design I,12774,LCD - AS1,09:30 AM - 10:20 AM,TR,"Brown, M; Scott, S",Meet on campus
IE 397,Senior Design Il,38148,LCD,ARRANGED,,,
IE 397,Senior Design Il,38149,LCD,ARRANGED,,,
IE 411,Mechatronics I,32261,LEC - AL1,03:00 PM - 03:50 PM,MW,"Kim, M",Meet on campus
IE 411,Mechatronics I,32262,LEC - AL2,03:00 PM - 03:50 PM,MW,"Kim, M",Meet on campus
IE 411,Mechatronics I,39094,LEC - BL1,ARRANGED,,,
IE 411,Mechatronics I,39095,LEC - BL2,ARRANGED,,,
IE 412,Dynamic Systems Analysis I,39456,LCD,05:00 PM - 06:15 PM,MW,,Meet on campus
IE 412,Dynamic Systems Analysis I,39455,LCD,05:00 PM - 06:15 PM,MW,,Meet on campus
IE 441,Ergonomics and Human Factors,39063,LCD,ARRANGED,,,
IE 441,Ergonomics and Human Factors,39064,LCD,ARRANGED,,,
IE 441,Ergonomics and Human Factors,29570,LCD,04:00 PM - 05:15 PM,MW,"Williams, Q",Meet on campus
IE 441,Ergonomics and Human Factors,29571,LCD,04:00 PM - 05:15 PM,MW,"Williams, Q",Meet on campus
IE 442,Design and Analysis of Experiments in Engineering,34405,LCD - AS,09:30 AM - 10:45 AM,TR,,
IE 442,Design and Analysis of Experiments in Engineering,40274,LCD - AS1,09:30 AM - 10:45 AM,TR,,
IE 442,Design and Analysis of Experiments in Engineering,39120,LCD - BS,01:00 PM - 01:50 PM,MWF,,
IE 444,Interdisciplinary Product Development I,39049,LCD,02:00 PM - 04:50 PM,M,"Scott, M",Meet on campus
IE 444,Interdisciplinary Product Development I,39048,LCD,02:00 PM - 04:50 PM,M,"Scott, M",Meet on campus
IE 444,Interdisciplinary Product Development I,28573,LCD,02:00 PM - 04:50 PM,R,,
IE 444,Interdisciplinary Product Development I,28574,LCD,02:00 PM - 04:50 PM,R,,
IE 461,Safety Engineering,12782,LCD,09:30 AM - 10:45 AM,MW,"Williams, Q",Meet on campus
IE 461,Safety Engineering,20377,LCD,09:30 AM - 10:45 AM,MW,"Williams, Q",Meet on campus
IE 464,Virtual Automation,12784,LCD - AS1,ARRANGED,,,
IE 464,Virtual Automation,20375,LCD - AS2,ARRANGED,,,
IE 465,Manufacturing Information Systems,44772,LCD,09:30 AM - 10:45 AM,TR,,Meet online at set times
IE 465,Manufacturing Information Systems,44773,LCD,09:30 AM - 10:45 AM,TR,,Meet online at set times
IE 467,Discrete Event Computer Simulation Application,12785,LCD,11:00 AM - 11:50 AM,MWF,"Li, L",Meet on campus
IE 467,Discrete Event Computer Simulation Application,20378,LCD,11:00 AM - 11:50 AM,MWF,"Li, L",Meet on campus
IE 471,Operations Research I,39077,LCD,ARRANGED,,,
IE 471,Operations Research I,39078,LCD,ARRANGED,,,
IE 471,Operations Research I,12787,LCD,12:00 PM - 12:50 PM,MWF,"He, D",Meet on campus
