Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
IE 201,Financial Engineering,38135,LCD,02:00 PM - 03:15 PM,TR,"Darabi, H",Online Synchronous
IE 312,Dynamic Systems and Control,21976,LCD,10:00 AM - 10:50 AM,MWF,"Reckinger, S",Online Asynchronous
IE 312,Dynamic Systems and Control,35720,LCD,04:00 PM - 04:50 PM,MWF,"Kim, M",Online Synchronous
IE 342,Probability and Statistics for Engineers,42133,LCD,01:00 PM - 01:50 PM,MWF,"Haghighi, A",Online Asynchronous
IE 342,Probability and Statistics for Engineers,29781,LCD,03:00 PM - 03:50 PM,MWF,"Reckinger, S",Online Asynchronous
IE 380,Manufacturing Process Principles,16571,LCD,08:00 AM - 08:50 AM,MWF,"Shahbazian-Yassar, R",Online Asynchronous
IE 380,Manufacturing Process Principles,42670,LCD,09:00 AM - 09:50 AM,MWF,"Abiade, J",Online Asynchronous
IE 397,Senior Design Il,38598,LCD,ARRANGED,,"Komperda, J",Online Synchronous
IE 397,Senior Design Il,36816,LCD,ARRANGED,,"Komperda, J",Online Synchronous
IE 397,Senior Design Il,37340,LCD,ARRANGED,,"Brown, M",Online Synchronous
IE 397,Senior Design Il,43743,LCD,ARRANGED,,"Alonso, M",Online Synchronous
IE 397,Senior Design Il,38074,LCD,ARRANGED,,"Brown, M",Online Synchronous
IE 441,Ergonomics and Human Factors,42671,LCD,12:00 PM - 12:50 PM,MWF,"Williams, Q",Online Asynchronous
IE 441,Ergonomics and Human Factors,42689,LCD,12:00 PM - 12:50 PM,MWF,"Williams, Q",Online Asynchronous
IE 442,Design and Analysis of Experiments in Engineering,41284,LCD - AS2,12:30 PM - 01:45 PM,TR,"Pan, Y",Online Asynchronous
IE 442,Design and Analysis of Experiments in Engineering,39404,LCD - AS1,12:30 PM - 01:45 PM,TR,"Pan, Y",Online Asynchronous
IE 445,Interdisciplinary Product Development 2,31905,LCD,02:00 PM - 04:50 PM,M,"Scott, M",Online Synchronous
IE 446,Quality Control and Reliability,19267,LCD,12:00 PM - 12:50 PM,MWF,"Huang, J",Online Asynchronous
IE 446,Quality Control and Reliability,16566,LCD,12:00 PM - 12:50 PM,MWF,"Huang, J",Online Asynchronous
IE 463,Plant Layout and Materials Handling,16568,LCD,10:00 AM - 10:50 AM,MWF,"Williams, Q",Online Asynchronous
IE 463,Plant Layout and Materials Handling,19269,LCD,10:00 AM - 10:50 AM,MWF,"Williams, Q",Online Asynchronous
IE 466,Production Planning and Inventory Control,37765,LCD,02:00 PM - 02:50 PM,MWF,"Williams, Q",Online Asynchronous
IE 466,Production Planning and Inventory Control,37766,LCD,02:00 PM - 02:50 PM,MWF,"Williams, Q",Online Asynchronous
IE 472,Operations Research II,16570,LCD,03:30 PM - 04:45 PM,MW,"He, D",Online Synchronous
IE 472,Operations Research II,19538,LCD,03:30 PM - 04:45 PM,MW,"He, D",Online Synchronous
IE 481,Additive Manufacturing Process,44618,LCD,03:30 PM - 04:45 PM,TR,"Pan, Y",Online Synchronous
IE 481,Additive Manufacturing Process,44619,LCD,03:30 PM - 04:45 PM,TR,"Pan, Y",Online Synchronous
IE 494,Special Topics in Industrial Engineering,31472,LCD,05:00 PM - 06:15 PM,MW,"Anahideh, H",Online Synchronous
IE 494,Special Topics in Industrial Engineering,31909,LCD,05:00 PM - 06:15 PM,MW,"Anahideh, H",Online Synchronous
IE 497,Undergraduate Senior Design Thesis II,40409,LCD,ARRANGED,,"Komperda, J",Online Synchronous
IE 499,Professional Development Seminar,38366,LCD,05:00 PM - 05:50 PM,W,"Reckinger, S",Online Synchronous
IE 511,Mechatronics II,21798,LEC - AL,03:30 PM - 04:20 PM,MW,"Cetin, S",Online Synchronous
IE 567,Data Mining for Machine Health Diagnosis and Prognosis,33583,LCD,02:00 PM - 03:15 PM,MW,"He, D",Online Synchronous
IE 571,Statistical Quality Control and Assurance,37284,LCD,06:00 PM - 08:30 PM,R,"Liotine, M",Online Synchronous
IE 594,Current Topics in Industrial Engineering,39728,LCD,11:00 AM - 12:15 PM,MW,"Anahideh, H",Online Synchronous
IE 594,Current Topics in Industrial Engineering,39727,LCD,09:30 AM - 10:45 AM,TR,"Jeong, H",Online Asynchronous
IE 594,Current Topics in Industrial Engineering,34907,LCD,12:30 PM - 01:45 PM,TR,"Li, L",Online Asynchronous
