Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
ME 205,Introduction to Thermodynamics,3,15795,LCD,02:00 PM - 02:50 PM,3,"Manafzadeh, S",On Campus,Spring,2014,Afternoon,50
ME 210,Engineering Dynamics,3,15796,LCD,04:00 PM - 04:50 PM,3,"Manafzadeh, S",On Campus,Spring,2014,Afternoon,50
ME 211,Fluid Mechanics I,4,21434,LCD,03:00 PM - 03:50 PM,3,"Yarin, A",On Campus,Spring,2014,Afternoon,50
ME 250,Introduction to Engineering Design and Graphics,3,15805,LEC,09:00 AM - 09:50 AM,3,"Siow, Y",On Campus,Spring,2014,Morning,50
ME 250,Introduction to Engineering Design and Graphics,3,35050,LEC,09:30 AM - 10:45 AM,2,"Abiade, J",On Campus,Spring,2014,Morning,75
ME 250,Introduction to Engineering Design and Graphics,3,36292,LEC,11:00 AM - 11:50 AM,3,"Abiade, J",On Campus,Spring,2014,Morning,50
ME 261,Materials for Manufacturing,2,24298,LCD,03:00 PM - 03:50 PM,3,"Wang, H",On Campus,Spring,2014,Afternoon,50
ME 308,Mechanical Vibrations,3,35710,LCD,10:00 AM - 10:50 AM,3,"Lilley, C",On Campus,Spring,2014,Morning,50
ME 308,Mechanical Vibrations,3,15806,LCD,11:00 AM - 11:50 AM,3,"Lilley, C",On Campus,Spring,2014,Morning,50
ME 312,Dynamic Systems and Control,3,35719,LCD,09:30 AM - 10:45 AM,2,"Brown, M",On Campus,Spring,2014,Morning,75
ME 320,Mechanisms and Dynamics of Machinery,4,15808,LCD,03:30 PM - 05:10 PM,2,"Brown, M",On Campus,Spring,2014,Afternoon,100
ME 321,Heat Transfer,4,15812,LCD,11:00 AM - 11:50 AM,3,"Salehi-Khojin, A",On Campus,Spring,2014,Morning,50
ME 325,Intermediate Thermodynamics,3,15813,LCD,02:00 PM - 02:50 PM,3,"Siow, Y",On Campus,Spring,2014,Afternoon,50
