Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 118,Energy for Sustainable Society,48600,LCD,09:30 AM - 10:45 AM,TR,"Alonso, M",Meet on campus
ME 205,Introduction to Thermodynamics,35098,LCD,10:00 AM - 10:50 AM,MWF,"Megaridis, C",Meet on campus
ME 205,Introduction to Thermodynamics,38920,LCD,02:00 PM - 02:50 PM,MWF,,
ME 205,Introduction to Thermodynamics,12405,LCD,02:00 PM - 02:50 PM,MWF,"Manafzadeh, S",Meet on campus
ME 210,Engineering Dynamics,12407,LCD,12:00 PM - 12:50 PM,MWF,"Scott, M",Meet on campus
ME 210,Engineering Dynamics,43498,LCD,02:00 PM - 02:50 PM,MWF,"Lilley, C",Meet on campus
ME 211,Fluid Mechanics I,12429,LCD - AS1,10:00 AM - 10:50 AM,MWF,"Mirbod, P",Meet on campus
ME 211,Fluid Mechanics I,35391,LCD - AS2,01:00 PM - 01:50 PM,MWF,"Yarin, A",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,12457,LEC - AL1,09:00 AM - 09:50 AM,MWF,"Szwalek, J",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,35096,LEC - BL,11:00 AM - 11:50 AM,MWF,,Meet on campus
ME 250,Introduction to Engineering Design and Graphics,36752,LEC - CL,02:00 PM - 02:50 PM,MWF,"Siow, Y",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,38912,LEC - DL,04:00 PM - 04:50 PM,MWF,"Siow, Y",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,43500,LEC - EL,09:30 AM - 10:45 AM,TR,"Szwalek, J",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,44195,LEC - GL,12:00 PM - 01:15 PM,TR,,
ME 261,Materials for Manufacturing,12472,LCD,04:00 PM - 04:50 PM,MWF,"Kadkhodaei, S",Meet on campus
ME 308,Mechanical Vibrations,29574,LCD,01:00 PM - 01:50 PM,MWF,"Siow, Y",Meet on campus
ME 308,Mechanical Vibrations,35399,LCD,02:00 PM - 02:50 PM,MWF,"Shabana, A",Meet on campus
ME 312,Dynamic Systems and Control,22457,LCD,ARRANGED,,,Meet on campus
ME 312,Dynamic Systems and Control,43501,LCD,10:00 AM - 10:50 AM,MWF,"Cetin, S",Meet on campus
ME 320,Mechanisms and Dynamics of Machinery,40028,LCD,ARRANGED,,,
ME 320,Mechanisms and Dynamics of Machinery,12477,LCD,03:30 PM - 04:45 PM,TR,"Brown, M",Meet on campus
ME 320,Mechanisms and Dynamics of Machinery,48430,LCD,04:00 PM - 04:50 PM,MWF,"Finan, J",Meet on campus
