Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 205,Introduction to Thermodynamics,38129,LCD,01:00 PM - 01:50 PM,MWF,"Sankaranarayanan, S",On Campus
ME 205,Introduction to Thermodynamics,15795,LCD,02:00 PM - 02:50 PM,MWF,"Manafzadeh, S",On Campus
ME 210,Engineering Dynamics,15796,LCD,10:00 AM - 10:50 AM,MWF,"Reckinger, S",On Campus
ME 210,Engineering Dynamics,38130,LCD,12:00 PM - 12:50 PM,MWF,"Reckinger, S",On Campus
ME 211,Fluid Mechanics I,21434,LCD - AS1,09:00 AM - 09:50 AM,MWF,"Megaridis, C",On Campus
ME 211,Fluid Mechanics I,38070,LCD - AS2,03:00 PM - 03:50 PM,MWF,"Mirbod, P",On Campus
ME 250,Introduction to Engineering Design and Graphics,15805,LEC - AL1,09:00 AM - 09:50 AM,MWF,"Hatami Marbini, H",On Campus
ME 250,Introduction to Engineering Design and Graphics,35050,LEC - BL1,02:00 PM - 02:50 PM,MWF,"Siow, Y",On Campus
ME 250,Introduction to Engineering Design and Graphics,38131,LEC - DL,04:00 PM - 04:50 PM,MWF,"Siow, Y",On Campus
ME 250,Introduction to Engineering Design and Graphics,42196,LEC - EL,09:30 AM - 10:45 AM,TR,"Abiade, J",On Campus
ME 261,Materials for Manufacturing,24298,LCD,04:00 PM - 04:50 PM,MWF,"Daly, M",Online Synchronous
ME 308,Mechanical Vibrations,15806,LCD,12:00 PM - 12:50 PM,MWF,"Siow, Y",On Campus
ME 308,Mechanical Vibrations,35710,LCD,01:00 PM - 01:50 PM,MWF,"Finan, J",On Campus
ME 312,Dynamic Systems and Control,19567,LCD,03:30 PM - 04:45 PM,TR,"Cetin, S",On Campus
ME 312,Dynamic Systems and Control,35719,LCD,04:00 PM - 04:50 PM,MWF,"Kim, M",On Campus
ME 320,Mechanisms and Dynamics of Machinery,15808,LCD,02:00 PM - 03:15 PM,TR,"Brown, M",On Campus
ME 320,Mechanisms and Dynamics of Machinery,45202,LCD,09:30 AM - 10:45 AM,TR,"Szwalek, J",On Campus
ME 321,Heat Transfer,15812,LCD - AS1,02:00 PM - 02:50 PM,MWF,"Jung, E",On Campus
ME 321,Heat Transfer,37327,LCD - AS2,11:00 AM - 11:50 AM,MWF,"Salehi-Khojin, A",On Campus
ME 325,Intermediate Thermodynamics,15813,LCD,02:00 PM - 02:50 PM,MWF,"Megaridis, C",On Campus
ME 325,Intermediate Thermodynamics,38817,LCD,04:00 PM - 04:50 PM,MWF,"Anand, S",On Campus
ME 341,Experimental Methods in Mechanical Engineering,15819,LEC - AL1,03:00 PM - 03:50 PM,MW,"Xu, J",On Campus
ME 341,Experimental Methods in Mechanical Engineering,36800,LEC - AL2,01:00 PM - 01:50 PM,MW,"Paoli, R",On Campus
ME 347,Introduction to Computer-Aided Design,39388,LEC - AL,09:00 AM - 09:50 AM,MW,"Szwalek, J",On Campus
ME 370,Mechanical Engineering Design,33178,LCD,12:30 PM - 01:45 PM,TR,"Subramanian, A",On Campus
ME 370,Mechanical Engineering Design,42477,LCD,01:00 PM - 01:50 PM,MWF,"Bhounsule, P",On Campus
ME 380,Manufacturing Process Principles,15847,LCD,08:00 AM - 08:50 AM,MWF,"Abiade, J",On Campus
ME 380,Manufacturing Process Principles,42668,LCD,02:00 PM - 03:15 PM,TR,"Shahbazian-Yassar, R",On Campus
ME 397,Senior Design Il,36801,LCD,ARRANGED,,"Komperda, J",On Campus
ME 397,Senior Design Il,38073,LCD,ARRANGED,,"Brown, M",On Campus
ME 397,Senior Design Il,38597,LCD,ARRANGED,,"Komperda, J",On Campus
ME 397,Senior Design Il,43742,LCD,ARRANGED,,"Alonso, M",On Campus
ME 397,Senior Design Il,37339,LCD,ARRANGED,,"Brown, M",On Campus
ME 408,Intermediate Vibration Theory,31900,LCD,03:30 PM - 04:45 PM,TR,"Shabana, A",On Campus
ME 408,Intermediate Vibration Theory,31452,LCD,03:30 PM - 04:45 PM,TR,"Shabana, A",On Campus
ME 415,Propulsion Theory,33271,LCD,12:00 PM - 12:50 PM,MWF,"Lynch, P",On Campus
ME 415,Propulsion Theory,33389,LCD,12:00 PM - 12:50 PM,MWF,"Lynch, P",On Campus
ME 416,Railroad Vehicle Dynamics,41688,LCD,12:30 PM - 01:45 PM,TR,,On Campus
ME 416,Railroad Vehicle Dynamics,41689,LCD,12:30 PM - 01:45 PM,TR,,On Campus
ME 417,Intermediate Fluid Mechanics,31454,LCD,01:00 PM - 01:50 PM,MWF,"Mirbod, P",On Campus
ME 417,Intermediate Fluid Mechanics,31902,LCD,01:00 PM - 01:50 PM,MWF,"Mirbod, P",On Campus
ME 422,"Heating, Ventilation and Air Conditioning",36503,LCD,06:00 PM - 08:30 PM,W,"Ryan, W",On Campus
ME 422,"Heating, Ventilation and Air Conditioning",36505,LCD,06:00 PM - 08:30 PM,W,"Ryan, W",On Campus
ME 428,Numerical Methods in Mechanical Engineering,38133,LCD,10:00 AM - 10:50 AM,MWF,"Komperda, J",On Campus
ME 428,Numerical Methods in Mechanical Engineering,38134,LCD,10:00 AM - 10:50 AM,MWF,"Komperda, J",On Campus
ME 428,Numerical Methods in Mechanical Engineering,15824,LCD,03:00 PM - 03:50 PM,MWF,"Aggarwal, S",On Campus
ME 428,Numerical Methods in Mechanical Engineering,19337,LCD,03:00 PM - 03:50 PM,MWF,"Aggarwal, S",On Campus
ME 445,Interdisciplinary Product Development 2,31457,LCD,ARRANGED,,"Scott, M",On Campus
ME 449,Microdevices and Micromachining Technology,19209,LCD - AS1,11:00 AM - 01:50 PM,F,,On Campus
ME 449,Microdevices and Micromachining Technology,23636,LCD - AS2,11:00 AM - 01:50 PM,F,"Paprotny, I",Online Synchronous
ME 450,Air Pollution Engineering,34696,LCD,06:00 PM - 08:30 PM,W,"Manafzadeh, S",On Campus
ME 450,Air Pollution Engineering,30901,LCD,06:00 PM - 08:30 PM,W,"Manafzadeh, S",On Campus
ME 481,Additive Manufacturing Process,44620,LCD,03:30 PM - 04:45 PM,TR,"Pan, Y",On Campus
ME 481,Additive Manufacturing Process,44621,LCD,03:30 PM - 04:45 PM,TR,"Pan, Y",On Campus
ME 494,Special Topics in Mechanical Engineering,32346,LCD,02:00 PM - 03:15 PM,TR,"Yurkiv, V",On Campus
ME 494,Special Topics in Mechanical Engineering,32347,LCD,02:00 PM - 03:15 PM,TR,"Yurkiv, V",On Campus
ME 497,Undergraduate Senior Design Thesis II,40408,LCD,ARRANGED,,"Komperda, J",On Campus
ME 499,Professional Development Seminar,38363,LCD,05:00 PM - 05:50 PM,W,"Reckinger, S",On Campus
ME 501,Advanced Thermodynamics,39399,LCD,12:30 PM - 01:45 PM,TR,"Brezinsky, K",On Campus
ME 502,Applied Stress Analysis II,31458,LCD,05:00 PM - 06:15 PM,TR,"Shahbazian-Yassar, R",On Campus
ME 512,Automatic Control of Mechanical Systems,33278,LCD,05:00 PM - 06:15 PM,MW,"Cetin, S",On Campus
ME 517,Microfluidics: Fundamentals and Applications,44321,LCD,05:00 PM - 06:15 PM,MW,"Xu, J",On Campus
ME 521,Heat Conduction,33279,LEC,04:00 PM - 06:30 PM,M,"Manafzadeh, S",On Campus
ME 525,Multi-phase Heat Transfer,40047,LEC,02:00 PM - 03:15 PM,MW,"Anand, S",On Campus
ME 541,Microelectronic Fabrication Techniques,22184,LCD,04:30 PM - 05:45 PM,MW,,On Campus
ME 547,Advanced Concepts in Computer-Aided Engineering,44979,LCD,12:30 PM - 01:45 PM,MW,"Hatami Marbini, H",On Campus
ME 594,Current Topics in Mechanical Engineering,15844,LCD,09:30 AM - 10:45 AM,TR,"Yarin, A",On Campus
